representation,attacker,target,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
V1,RandomForest,dominant_rat,10,0.9791228070175441,0.001930710411604567,0.001196666710962837,0.5392990730200034,0.03344148468925204,0.020727246951314185,0.4859605860353574,0.11384137245080989,0.0705596136652044
V2,GradientBoosting,dominant_cpe,10,0.25456140350877193,0.01326982927813411,0.00822472539737639,0.26006491860484826,0.0192276976090909,0.011917450446717418,0.24689120109948653,0.01646003266413997,0.01020203394157252
V2,GradientBoosting,dominant_rat,10,0.9836842105263159,0.004965597594234774,0.0030777092749603567,0.7109530004878842,0.14819025724646726,0.09184927302924129,0.7231001138404862,0.11941961909848015,0.0740170467575444
V2,LogisticRegression,dominant_cpe,10,0.16596491228070173,0.014914000588814107,0.009243793333606,0.26028313775450695,0.018314945050630336,0.011351720549840669,0.11341793850230446,0.02100758509379705,0.013020636139095328
V2,LogisticRegression,dominant_rat,10,0.8921052631578948,0.08322707907459943,0.0515846780442199,0.8736949097414215,0.051771241749587305,0.0320881480798837,0.5869495695249187,0.13166300996889155,0.08160557903864984
V2,MLP,dominant_cpe,10,0.2792982456140351,0.033438839899377744,0.02072560769356686,0.2531997520326257,0.014398693145799,0.00892440247143363,0.2020975107431235,0.04261418453646223,0.02641254521812567
V2,MLP,dominant_rat,10,0.9687719298245614,0.023966621797071708,0.01485466608892254,0.49391771019677994,0.012219118447523146,0.0075734880775365394,0.4434851092104465,0.08289180385226112,0.05137687230848065
V2,RandomForest,dominant_cpe,10,0.19333333333333333,0.025528174607266998,0.01582252654802587,0.2539578026148512,0.026025453324707702,0.016130743090317697,0.17368046564575346,0.0308575668969946,0.019125718111321393
V2,RandomForest,dominant_rat,10,0.9829824561403508,0.0063551943798349,0.00393899028582239,0.7506993006993008,0.12382050398359402,0.0767447434691494,0.7550121963202542,0.07977448460586987,0.04944473782203536
V3_8D_sigma005,GradientBoosting,dominant_cpe,10,0.24964912280701754,0.01988390091019491,0.012324169466480968,0.2655948448532423,0.02359663086776493,0.014625343335081035,0.24353195031545066,0.01893664366759914,0.01173705334480908
V3_8D_sigma005,GradientBoosting,dominant_rat,10,0.9814035087719297,0.004619512902486865,0.002863203760669185,0.6785981460400065,0.1166449015186643,0.0722972589840225,0.6972132618142186,0.10187325709412022,0.06314169891515593
V3_8D_sigma005,LogisticRegression,dominant_cpe,10,0.17456140350877197,0.01509746274084864,0.009357504353519584,0.26737149137861016,0.016912011321691015,0.010482173215855248,0.12140342959144575,0.02213746757628791,0.013720944557162629
V3_8D_sigma005,LogisticRegression,dominant_rat,10,0.8703508771929824,0.11610344931800337,0.07196166343317548,0.8848837209302325,0.0886372383912672,0.05493792952944976,0.543922731816887,0.14502926546943457,0.08989007002786596
V3_8D_sigma005,MLP,dominant_cpe,10,0.2580701754385965,0.048502417724821084,0.030062109958929883,0.24258842889630555,0.024400987542602778,0.015123888767235857,0.1887833084317699,0.04579877400372139,0.02838637421943342
V3_8D_sigma005,MLP,dominant_rat,10,0.9800000000000001,0.0036238440666268197,0.002246081822622234,0.513010245568385,0.043060727299683535,0.02668931529019681,0.498531478354328,0.08696712940042275,0.05390278525249819
V3_8D_sigma005,RandomForest,dominant_cpe,10,0.19368421052631576,0.01806629531195287,0.011197605845130682,0.24748985593036207,0.027097737808246713,0.016795351898775252,0.17248675016842907,0.02084719843465918,0.012921227457855906
V3_8D_sigma005,RandomForest,dominant_rat,10,0.9824561403508772,0.0034099133887983877,0.0021134862147712138,0.7192389006342494,0.09289520864709555,0.057577046836112575,0.7359511823743248,0.061191980822502705,0.03792718265154463
V3_sigma0,GradientBoosting,dominant_cpe,10,0.25561403508771935,0.008636379590221097,0.005352883527606502,0.2540133018561156,0.015618899377357607,0.00968069412917741,0.24471026056348028,0.012243980674352622,0.0075888978453755775
V3_sigma0,GradientBoosting,dominant_rat,10,0.9761403508771929,0.006929269353730344,0.004294805641003806,0.6625467555700114,0.10611635583786684,0.06577159876313468,0.6356359716611232,0.10314986252321856,0.06393294715769626
V3_sigma0,LogisticRegression,dominant_cpe,10,0.1887719298245614,0.027244182447650363,0.016886119226656216,0.2766961807146525,0.01648132308285706,0.010215229879807518,0.14423695043002613,0.03217809650094003,0.019944190839486328
V3_sigma0,LogisticRegression,dominant_rat,10,0.630877192982456,0.13351070586442834,0.08275079281948505,0.8118067978533094,0.06806896452837582,0.042189581312259826,0.29232878660455175,0.049578445531616534,0.03072903890317913
V3_sigma0,MLP,dominant_cpe,10,0.2791228070175439,0.02308941970429408,0.014310970598959588,0.25798951924943336,0.025780024725738804,0.015978624868683282,0.21186127992441825,0.030089781958909413,0.018649840076447367
V3_sigma0,MLP,dominant_rat,10,0.9787719298245614,0.003647360498131631,0.0022606574578771647,0.4990161001788909,0.001859566622482121,0.0011525713336225155,0.47820508138795786,0.05257464210801817,0.03258610078098859
