representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma005,GradientBoosting,dominant_cpe,7,570,0,0.23684210526315788,0.23967853797739092,0.23020364060256268
PCA3,LogisticRegression,dominant_cpe,7,570,0,0.156140350877193,0.25986593024809584,0.08437352595247331
PCA3,RandomForest,dominant_cpe,7,570,0,0.22456140350877193,0.22689893899498148,0.21325264441087843
PCA3,MLP,dominant_cpe,7,570,0,0.21403508771929824,0.2847449714964736,0.1859242849097029
PCA3,GradientBoosting,dominant_cpe,7,570,0,0.23508771929824562,0.22310664999366603,0.2088418384397761
RandomProjection3,LogisticRegression,dominant_cpe,7,570,0,0.14736842105263157,0.24890886873850576,0.07377694539311813
RandomProjection3,RandomForest,dominant_cpe,7,570,0,0.23333333333333334,0.30133955636151755,0.21169345773292153
RandomProjection3,MLP,dominant_cpe,7,570,0,0.2807017543859649,0.22133784004797472,0.15102669880411607
RandomProjection3,GradientBoosting,dominant_cpe,7,570,0,0.22982456140350876,0.2534367150497464,0.22713988845773972
V3_sigma0,LogisticRegression,dominant_cpe,7,570,0,0.2631578947368421,0.31180484684797927,0.22941808661231888
V3_sigma0,RandomForest,dominant_cpe,7,570,0,0.23859649122807017,0.2642680124770344,0.23740759041729917
V3_sigma0,MLP,dominant_cpe,7,570,0,0.2649122807017544,0.2539675505939212,0.1927212689751927
V3_sigma0,GradientBoosting,dominant_cpe,7,570,0,0.2543859649122807,0.2521653424556908,0.24553238614789086
V3_sigma001,LogisticRegression,dominant_cpe,7,570,0,0.2614035087719298,0.32384215679592765,0.22968428589778261
V3_sigma001,RandomForest,dominant_cpe,7,570,0,0.24035087719298245,0.27951663124238024,0.23659358993572313
V3_sigma001,MLP,dominant_cpe,7,570,0,0.2719298245614035,0.2435291475464908,0.19866771509174985
V3_sigma001,GradientBoosting,dominant_cpe,7,570,0,0.24561403508771928,0.26247391713226575,0.24457024969912272
