source,destination,transmitter_type,channel_pattern,launch_power_dbm,16QAM,QPSK,qpsk_minus_16qam_gsnr_db
bristol,bradley stoke,voyager,01001101,-5.5,24.945,24.562,-0.3829999999999991
bristol,bradley stoke,voyager,01001101,-5.0,24.19,23.787,-0.40300000000000225
bristol,bradley stoke,voyager,01001101,-4.5,23.383,22.965,-0.41799999999999926
bristol,bradley stoke,voyager,01001110,-5.5,24.63,24.178,-0.4519999999999982
bristol,bradley stoke,voyager,01001110,-5.0,23.863,23.383,-0.4800000000000004
bristol,bradley stoke,voyager,01001110,-4.5,23.038,22.543,-0.495000000000001
bristol,bradley stoke,voyager,01001111,-5.5,24.242,23.714,-0.5280000000000022
bristol,bradley stoke,voyager,01001111,-5.0,23.452,22.898,-0.554000000000002
bristol,bradley stoke,voyager,01001111,-4.5,22.612,22.042,-0.5699999999999967
bristol,bradley stoke,voyager,01010000,-5.5,25.755,25.565,-0.18999999999999773
bristol,bradley stoke,voyager,01010000,-5.0,25.045,24.85,-0.19500000000000028
bristol,bradley stoke,voyager,01010000,-4.5,24.285,24.075,-0.21000000000000085
bristol,bradley stoke,voyager,01010001,-5.5,25.627,25.413,-0.21399999999999864
bristol,bradley stoke,voyager,01010001,-5.0,24.913,24.687,-0.2259999999999991
bristol,bradley stoke,voyager,01010001,-4.5,24.14,23.9,-0.240000000000002
bristol,bradley stoke,voyager,01010010,-5.5,25.543,25.303,-0.23999999999999844
bristol,bradley stoke,voyager,01010010,-5.0,24.823,24.57,-0.2530000000000001
bristol,bradley stoke,voyager,01010010,-4.5,24.043,23.78,-0.2629999999999981
bristol,bradley stoke,voyager,01010011,-5.5,24.995,24.62,-0.375
bristol,bradley stoke,voyager,01010011,-5.0,24.242,23.848,-0.3940000000000019
bristol,bradley stoke,voyager,01010011,-4.5,23.438,23.025,-0.41300000000000026
bristol,bradley stoke,voyager,01010100,-5.5,25.39,25.113,-0.277000000000001
bristol,bradley stoke,voyager,01010100,-5.0,24.66,24.367,-0.29299999999999926
bristol,bradley stoke,voyager,01010100,-4.5,23.873,23.567,-0.30600000000000094
bristol,bradley stoke,voyager,01010101,-5.5,25.137,24.797,-0.33999999999999986
bristol,bradley stoke,voyager,01010101,-5.0,24.39,24.035,-0.3550000000000004
bristol,bradley stoke,voyager,01010101,-4.5,23.595,23.218,-0.3769999999999989
bristol,bradley stoke,voyager,01010110,-5.5,24.845,24.432,-0.41300000000000026
bristol,bradley stoke,voyager,01010110,-5.0,24.082,23.65,-0.43200000000000216
bristol,bradley stoke,voyager,01010110,-4.5,23.27,22.822,-0.4480000000000004
bristol,bradley stoke,voyager,01010111,-5.5,24.424,23.93,-0.4939999999999998
bristol,bradley stoke,voyager,01010111,-5.0,23.64,23.126,-0.5139999999999993
bristol,bradley stoke,voyager,01010111,-4.5,22.812,22.274,-0.5380000000000003
bristol,bradley stoke,voyager,01011000,-5.5,25.003,24.627,-0.3760000000000012
bristol,bradley stoke,voyager,01011000,-5.0,24.25,23.85,-0.3999999999999986
bristol,bradley stoke,voyager,01011000,-4.5,23.447,23.03,-0.41699999999999804
bristol,bradley stoke,voyager,01011001,-5.5,24.947,24.565,-0.3819999999999979
bristol,bradley stoke,voyager,01011001,-5.0,24.195,23.787,-0.40800000000000125
bristol,bradley stoke,voyager,01011001,-4.5,23.385,22.968,-0.4170000000000016
bristol,bradley stoke,voyager,01011010,-5.5,24.815,24.4,-0.4150000000000027
bristol,bradley stoke,voyager,01011010,-5.0,24.05,23.617,-0.43299999999999983
bristol,bradley stoke,voyager,01011010,-4.5,23.237,22.785,-0.4519999999999982
bristol,bradley stoke,voyager,01011011,-5.5,24.442,23.95,-0.4920000000000009
bristol,bradley stoke,voyager,01011011,-5.0,23.662,23.144,-0.5180000000000007
bristol,bradley stoke,voyager,01011011,-4.5,22.83,22.298,-0.532
bristol,bradley stoke,voyager,01011100,-5.5,24.5,24.012,-0.48799999999999955
bristol,bradley stoke,voyager,01011100,-5.0,23.72,23.207,-0.5129999999999981
bristol,bradley stoke,voyager,01011100,-4.5,22.89,22.365,-0.5250000000000021
bristol,bradley stoke,voyager,01011101,-5.5,24.388,23.89,-0.4980000000000011
bristol,bradley stoke,voyager,01011101,-5.0,23.604,23.082,-0.5219999999999985
bristol,bradley stoke,voyager,01011101,-4.5,22.774,22.23,-0.5440000000000005
bristol,bradley stoke,voyager,01011110,-5.5,24.134,23.578,-0.5560000000000009
bristol,bradley stoke,voyager,01011110,-5.0,23.334,22.758,-0.5760000000000005
bristol,bradley stoke,voyager,01011110,-4.5,22.492,21.896,-0.5960000000000001
bristol,bradley stoke,voyager,01011111,-5.5,23.848,23.252,-0.5960000000000001
bristol,bradley stoke,voyager,01011111,-5.0,23.038,22.415,-0.6230000000000011
bristol,bradley stoke,voyager,01011111,-4.5,22.187,21.543,-0.6440000000000019
bristol,bradley stoke,voyager,01100000,-5.5,25.21,24.865,-0.3450000000000024
bristol,bradley stoke,voyager,01100000,-5.0,24.47,24.105,-0.36499999999999844
bristol,bradley stoke,voyager,01100000,-4.5,23.67,23.29,-0.38000000000000256
bristol,bradley stoke,voyager,01100001,-5.5,25.317,25.017,-0.3000000000000007
bristol,bradley stoke,voyager,01100001,-5.0,24.583,24.267,-0.31599999999999895
bristol,bradley stoke,voyager,01100001,-4.5,23.797,23.463,-0.33399999999999963
bristol,bradley stoke,voyager,01100010,-5.5,25.26,24.943,-0.31700000000000017
bristol,bradley stoke,voyager,01100010,-5.0,24.523,24.19,-0.3329999999999984
bristol,bradley stoke,voyager,01100010,-4.5,23.73,23.383,-0.3470000000000013
bristol,bradley stoke,voyager,01100011,-5.5,24.81,24.385,-0.42499999999999716
bristol,bradley stoke,voyager,01100011,-5.0,24.047,23.602,-0.4450000000000003
bristol,bradley stoke,voyager,01100011,-4.5,23.233,22.767,-0.4660000000000011
bristol,bradley stoke,voyager,01100100,-5.5,25.17,24.827,-0.34299999999999997
bristol,bradley stoke,voyager,01100100,-5.0,24.43,24.07,-0.35999999999999943
bristol,bradley stoke,voyager,01100100,-4.5,23.633,23.257,-0.37599999999999767
bristol,bradley stoke,voyager,01100101,-5.5,25.0,24.625,-0.375
bristol,bradley stoke,voyager,01100101,-5.0,24.245,23.852,-0.3930000000000007
bristol,bradley stoke,voyager,01100101,-4.5,23.44,23.027,-0.41300000000000026
bristol,bradley stoke,voyager,01100110,-5.5,24.715,24.267,-0.4480000000000004
bristol,bradley stoke,voyager,01100110,-5.0,23.947,23.48,-0.46699999999999875
bristol,bradley stoke,voyager,01100110,-4.5,23.13,22.642,-0.48799999999999955
bristol,bradley stoke,voyager,01100111,-5.5,24.338,23.822,-0.5160000000000018
bristol,bradley stoke,voyager,01100111,-5.0,23.552,23.01,-0.541999999999998
bristol,bradley stoke,voyager,01100111,-4.5,22.718,22.156,-0.5620000000000012
bristol,bradley stoke,voyager,01101000,-5.5,25.003,24.627,-0.3760000000000012
bristol,bradley stoke,voyager,01101000,-5.0,24.25,23.853,-0.39699999999999847
bristol,bradley stoke,voyager,01101000,-4.5,23.447,23.03,-0.41699999999999804
bristol,bradley stoke,voyager,01101001,-5.5,24.965,24.59,-0.375
bristol,bradley stoke,voyager,01101001,-5.0,24.212,23.815,-0.39699999999999847
bristol,bradley stoke,voyager,01101001,-4.5,23.407,22.992,-0.41499999999999915
bristol,bradley stoke,voyager,01101010,-5.5,24.845,24.435,-0.41000000000000014
bristol,bradley stoke,voyager,01101010,-5.0,24.085,23.655,-0.4299999999999997
bristol,bradley stoke,voyager,01101010,-4.5,23.273,22.822,-0.4510000000000005
bristol,bradley stoke,voyager,01101011,-5.5,24.48,23.99,-0.490000000000002
bristol,bradley stoke,voyager,01101011,-5.0,23.698,23.186,-0.5120000000000005
bristol,bradley stoke,voyager,01101011,-4.5,22.87,22.336,-0.5340000000000025
bristol,bradley stoke,voyager,01101100,-5.5,24.553,24.073,-0.4800000000000004
bristol,bradley stoke,voyager,01101100,-5.0,23.777,23.27,-0.5070000000000014
bristol,bradley stoke,voyager,01101100,-4.5,22.953,22.425,-0.5279999999999987
bristol,bradley stoke,voyager,01101101,-5.5,24.446,23.952,-0.4939999999999998
bristol,bradley stoke,voyager,01101101,-5.0,23.666,23.146,-0.5199999999999996
bristol,bradley stoke,voyager,01101101,-4.5,22.832,22.296,-0.5360000000000014
bristol,bradley stoke,voyager,01101110,-5.5,24.194,23.646,-0.5479999999999983
bristol,bradley stoke,voyager,01101110,-5.0,23.398,22.826,-0.5719999999999992
bristol,bradley stoke,voyager,01101110,-4.5,22.556,21.964,-0.5920000000000023
bristol,bradley stoke,voyager,01101111,-5.5,23.908,23.31,-0.5980000000000025
